variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension
c19.1,19,1,Wordcount,eng,Affective Norms,Valence (Pleasure) (All)
v19.1,19,1,Scoredvalue,eng,Affective Norms,Valence (Pleasure) (All) (Scored Value)
c19.2,19,2,Wordcount,eng,Affective Norms,Arousal (All)
v19.2,19,2,Scoredvalue,eng,Affective Norms,Arousal (All) (Scored Value)
c19.3,19,3,Wordcount,eng,Affective Norms,Dominance (All)
v19.3,19,3,Scoredvalue,eng,Affective Norms,Dominance (All) (Scored Value)
c19.4,19,4,Wordcount,eng,Affective Norms,Valence (Pleasure) (Men)
v19.4,19,4,Scoredvalue,eng,Affective Norms,Valence (Pleasure) (Men) (Scored Value)
c19.5,19,5,Wordcount,eng,Affective Norms,Arousal (Men)
v19.5,19,5,Scoredvalue,eng,Affective Norms,Arousal (Men) (Scored Value)
c19.6,19,6,Wordcount,eng,Affective Norms,Dominance (Men)
v19.6,19,6,Scoredvalue,eng,Affective Norms,Dominance (Men) (Scored Value)
c19.7,19,7,Wordcount,eng,Affective Norms,Valence (Pleasure) (Women)
v19.7,19,7,Scoredvalue,eng,Affective Norms,Valence (Pleasure) (Women) (Scored Value)
c19.8,19,8,Wordcount,eng,Affective Norms,Arousal (Women)
v19.8,19,8,Scoredvalue,eng,Affective Norms,Arousal (Women) (Scored Value)
c19.9,19,9,Wordcount,eng,Affective Norms,Dominance (Women)
v19.9,19,9,Scoredvalue,eng,Affective Norms,Dominance (Women) (Scored Value)
