variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension
c35.1,35,1,Wordcount,eng,Hogenraad's Motive,InstrumentalRID
c35.2,35,2,Wordcount,eng,Hogenraad's Motive,NeedH4
c35.3,35,3,Wordcount,eng,Hogenraad's Motive,GoalH4
c35.4,35,4,Wordcount,eng,Hogenraad's Motive,TryH4
c35.5,35,5,Wordcount,eng,Hogenraad's Motive,MeansH4
c35.6,35,6,Wordcount,eng,Hogenraad's Motive,PersistH4
c35.7,35,7,Wordcount,eng,Hogenraad's Motive,CompleteH4
c35.8,35,8,Wordcount,eng,Hogenraad's Motive,FinishH4
c35.9,35,9,Wordcount,eng,Hogenraad's Motive,MeansLw
c35.10,35,10,Wordcount,eng,Hogenraad's Motive,FailH4
c35.11,35,11,Wordcount,eng,Hogenraad's Motive,TransactionGainLw
c35.12,35,12,Wordcount,eng,Hogenraad's Motive,TransactionLw
c35.13,35,13,Wordcount,eng,Hogenraad's Motive,AffectionRID
c35.14,35,14,Wordcount,eng,Hogenraad's Motive,SocialBehaviorRID
c35.15,35,15,Wordcount,eng,Hogenraad's Motive,AffiliationGainH4
c35.16,35,16,Wordcount,eng,Hogenraad's Motive,AffiliationLossLw
c35.17,35,17,Wordcount,eng,Hogenraad's Motive,AffectParticipantLw
c35.18,35,18,Wordcount,eng,Hogenraad's Motive,OtherAffect
c35.19,35,19,Wordcount,eng,Hogenraad's Motive,PositiveAffectLw
c35.20,35,20,Wordcount,eng,Hogenraad's Motive,PowerH4
c35.21,35,21,Wordcount,eng,Hogenraad's Motive,PowerGainLw
c35.22,35,22,Wordcount,eng,Hogenraad's Motive,PowerLossLw
c35.23,35,23,Wordcount,eng,Hogenraad's Motive,PowerEndsLw
c35.24,35,24,Wordcount,eng,Hogenraad's Motive,PowerConflictLw
c35.25,35,25,Wordcount,eng,Hogenraad's Motive,PowerCooperationLw
c35.26,35,26,Wordcount,eng,Hogenraad's Motive,PowerAuthoritativeParticipantsLw
c35.27,35,27,Wordcount,eng,Hogenraad's Motive,PowerOrdinaryParticipantsLw
c35.28,35,28,Wordcount,eng,Hogenraad's Motive,PowerIdeasLw
c35.29,35,29,Wordcount,eng,Hogenraad's Motive,PowerToolsFormsLw
c35.30,35,30,Wordcount,eng,Hogenraad's Motive,ResidualPowerWordsLw
c35.31,35,31,Wordcount,eng,Hogenraad's Motive,Achievement
c35.32,35,32,Wordcount,eng,Hogenraad's Motive,Affiliation
c35.33,35,33,Wordcount,eng,Hogenraad's Motive,Power
