variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension
c4.1,4,1,Wordcount,eng,Lexicoder Topic,Civil Rights
c4.2,4,2,Wordcount,eng,Lexicoder Topic,Healthcare
c4.3,4,3,Wordcount,eng,Lexicoder Topic,Agriculture
c4.4,4,4,Wordcount,eng,Lexicoder Topic,Forestry
c4.5,4,5,Wordcount,eng,Lexicoder Topic,Labour
c4.6,4,6,Wordcount,eng,Lexicoder Topic,Immigration
c4.7,4,7,Wordcount,eng,Lexicoder Topic,Education
c4.8,4,8,Wordcount,eng,Lexicoder Topic,Environment
c4.9,4,9,Wordcount,eng,Lexicoder Topic,Energy
c4.10,4,10,Wordcount,eng,Lexicoder Topic,Fisheries
c4.11,4,11,Wordcount,eng,Lexicoder Topic,Transportation
c4.12,4,12,Wordcount,eng,Lexicoder Topic,Crime
c4.13,4,13,Wordcount,eng,Lexicoder Topic,Social Welfare
c4.14,4,14,Wordcount,eng,Lexicoder Topic,Housing
c4.15,4,15,Wordcount,eng,Lexicoder Topic,Finance
c4.16,4,16,Wordcount,eng,Lexicoder Topic,Defence
c4.17,4,17,Wordcount,eng,Lexicoder Topic,SSTC
c4.18,4,18,Wordcount,eng,Lexicoder Topic,Foreign Trade
c4.19,4,19,Wordcount,eng,Lexicoder Topic,Intl Affairs
c4.20,4,20,Wordcount,eng,Lexicoder Topic,Government Ops
c4.21,4,21,Wordcount,eng,Lexicoder Topic,Land-Water-Management
c4.22,4,22,Wordcount,eng,Lexicoder Topic,Culture
c4.23,4,23,Wordcount,eng,Lexicoder Topic,Prov Local
c4.24,4,24,Wordcount,eng,Lexicoder Topic,Intergovernmental
c4.25,4,25,Wordcount,eng,Lexicoder Topic,Constitutional Natl Unity
c4.26,4,26,Wordcount,eng,Lexicoder Topic,Aboriginal
c4.27,4,27,Wordcount,eng,Lexicoder Topic,Aboriginal
c4.28,4,28,Wordcount,eng,Lexicoder Topic,Religion
