variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension
c5.1,5,1,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Assent
c5.2,5,2,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Death
c5.3,5,3,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Religion
c5.4,5,4,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Money
c5.5,5,5,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Home
c5.6,5,6,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Leisure
c5.7,5,7,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Achievement
c5.8,5,8,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Work
c5.9,5,9,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Time
c5.10,5,10,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Space
c5.11,5,11,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Motion
c5.12,5,12,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Relativeness
c5.13,5,13,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Ingest
c5.14,5,14,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Sexual
c5.15,5,15,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Health
c5.16,5,16,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Body
c5.17,5,17,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Biology
c5.18,5,18,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Feel
c5.19,5,19,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Hear
c5.20,5,20,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),See
c5.21,5,21,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Perception
c5.22,5,22,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Exclusion
c5.23,5,23,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Inclusion
c5.24,5,24,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Inhibition
c5.25,5,25,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Certain
c5.26,5,26,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Tentative
c5.27,5,27,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Discrepency
c5.28,5,28,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Cause
c5.29,5,29,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Insight
c5.30,5,30,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),CogMech
c5.31,5,31,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Sad
c5.32,5,32,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Anger
c5.33,5,33,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Anxiety
c5.34,5,34,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),NegativeEmotion
c5.35,5,35,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),PositiveEmotion
c5.36,5,36,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Affect
c5.37,5,37,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Humans
c5.38,5,38,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Friends
c5.39,5,39,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Family
c5.40,5,40,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Social
c5.41,5,41,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Swear
c5.42,5,42,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Numbers
c5.43,5,43,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Quant
c5.44,5,44,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Negate
c5.45,5,45,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Conj
c5.46,5,46,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Prep
c5.47,5,47,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Adverbs
c5.48,5,48,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Future
c5.49,5,49,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Present
c5.50,5,50,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Past
c5.51,5,51,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),AuxVb
c5.52,5,52,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Verbs
c5.53,5,53,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Article
c5.54,5,54,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),IPron
c5.55,5,55,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),They
c5.56,5,56,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),SheHe
c5.57,5,57,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),You
c5.58,5,58,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),We
c5.59,5,59,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),I
c5.60,5,60,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),PersonalPron
c5.61,5,61,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Pronoun
c5.62,5,62,Wordcount,eng,Linguistic Inquiry and Word Count (LIWC),Funct
