variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension,section,subSection,heading,Subheading,word,
c9.1,9,1,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Being Abstract,,,Existence,
c9.2,9,2,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Being Abstract,,,Inexistence,
c9.3,9,3,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Being Concrete,,,Substantiality,
c9.4,9,4,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Being Concrete,,,Unsubstantiality,
c9.5,9,5,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Formal Existence,Internal Conditions,,Intrinsicality,
c9.6,9,6,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Formal Existence,External Conditions,,Extrinsicality,
c9.7,9,7,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Modal Existence,,,Absolute State,
c9.8,9,8,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Existence,Modal Existence,,,Relative Circumstance,
c9.9,9,9,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Irrelation,
c9.10,9,10,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Consanguinity,
c9.11,9,11,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Correlation,
c9.12,9,12,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Identity,
c9.13,9,13,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Contrariety,
c9.14,9,14,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Difference,
c9.15,9,15,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Absolute Relation,,,Relation,
c9.16,9,16,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Continuous Relation,,,Uniformity,
c9.17,9,17,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Continuous Relation,,,Non-Uniformity,
c9.18,9,18,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Similarity,
c9.19,9,19,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Dissimilarity,
c9.20,9,20,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Imitation,
c9.21,9,21,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Non-Imitation,
c9.22,9,22,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Variation,
c9.23,9,23,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Copy,
c9.24,9,24,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,Partial Relation,,,Prototype,
c9.25,9,25,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,General Relation,,,Agreement,
c9.26,9,26,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Relation,General Relation,,,Disagreement,
c9.27,9,27,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Simple Quantity,,,Quantity,
c9.28,9,28,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Simple Quantity,,,Degree,
c9.29,9,29,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison General,,Equality,
c9.30,9,30,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison General,,Inequality,
c9.31,9,31,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison General,,Mean,
c9.32,9,32,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison General,,Compensation,
c9.33,9,33,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison with Standard,,Greatness,
c9.34,9,34,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison with Standard,,Smallness,
c9.35,9,35,Wordcount,eng,Roget's Thesaurus,Abstract Relations,Quantity,Comparative Quantity,Comparison with Similar,,Superiority,
