GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,Action_Geo_FeatureID,DATEADDED,SOURCEURL
,YYYYMMDD,MMDD,YYYY,,CountryCode,,West Bank,Al Aqsa Martyrs Brigade,Afar,Buddhism,Buddhism,Police forces,Police forces,Police forces,CountryCode,,West Bank,Al Aqsa Martyrs Brigade,Afar,Buddhism,Buddhism,Police forces,Police forces,Police forces,Yes,Make public statement,,Make public statement,Verbal Cooperation,-10,1 to  9,1 to  9,1 to  9,-10,Country,,Afghanistan,,,,,,Country,,Afghanistan,,,,,,Country,,Afghanistan,,,,,,YYYYMMDDHHMMSS,
,,,,,EthnicCode,,Baghdad,Arab Bank for Economic Development in Africa,Abkhaz,Mahayana Buddhism,Mahayana Buddhism,Government,Government,Government,EthnicCode,,Baghdad,Arab Bank for Economic Development in Africa,Abkhaz,Mahayana Buddhism,Mahayana Buddhism,Government,Government,Government,No,Make statement,,Appeal,Material Cooperation,-9,10 to 24,10 to 24,10 to 24,-9,US State,,Akrotiri Sovereign Base Area,,,,,,US State,,Akrotiri Sovereign Base Area,,,,,,US State,,Akrotiri Sovereign Base Area,,,,,,,
,,,,,ReligiousCode,,Gaza Strip,Arab Cooperation Council,Aboriginal-Australians,Pure Land Buddhism a.k.a. Amidism ,Pure Land Buddhism a.k.a. Amidism ,Insurgents,Insurgents,Insurgents,ReligiousCode,,Gaza Strip,Arab Cooperation Council,Aboriginal-Australians,Pure Land Buddhism a.k.a. Amidism ,Pure Land Buddhism a.k.a. Amidism ,Insurgents,Insurgents,Insurgents,,Decline comment,,Express intent to cooperate,Verbal Conflict,-8,25 to 50,25 to 50,25 to 50,-8,US City,,Albania,,,,,,US City,,Albania,,,,,,US City,,Albania,,,,,,,
,,,,,TypeCode,,Africa,Asian Development Bank,Acehnese,Jodo Shinshu   a.k.a. Shin  Buddhism,Jodo Shinshu   a.k.a. Shin  Buddhism,Judiciary,Judiciary,Judiciary,TypeCode,,Africa,Asian Development Bank,Acehnese,Jodo Shinshu   a.k.a. Shin  Buddhism,Jodo Shinshu   a.k.a. Shin  Buddhism,Judiciary,Judiciary,Judiciary,,Make pessimistic comment,,Consult,Material Conflict,-7,50 +,50 +,50 +,-7,World City International,,Algeria,,,,,,World City International,,Algeria,,,,,,World City International,,Algeria,,,,,,,
,,,,,,,Asia,Arab Economic Unity Council,Achang,"Hongan-ji School a.k.a. Jodo Shinshu Hompa Hongwanji-ha, Nishi Hongan-ji ","Hongan-ji School a.k.a. Jodo Shinshu Hompa Hongwanji-ha, Nishi Hongan-ji ",Military,Military,Military,,,Asia,Arab Economic Unity Council,Achang,"Hongan-ji School a.k.a. Jodo Shinshu Hompa Hongwanji-ha, Nishi Hongan-ji ","Hongan-ji School a.k.a. Jodo Shinshu Hompa Hongwanji-ha, Nishi Hongan-ji ",Military,Military,Military,,Make optimistic comment,,Engage in diplomatic cooperation,,-6,,,,-6,World Region,,American Samoa,,,,,,World Region,,American Samoa,,,,,,World Region,,American Samoa,,,,,,,
,,,,,,,Balkans,African Development Bank,Acholi,"Otani School   a.k.a. Jodo Shinshu Otani-ha, Higashi  Hongan-ji","Otani School   a.k.a. Jodo Shinshu Otani-ha, Higashi  Hongan-ji",Political Opposition,Political Opposition,Political Opposition,,,Balkans,African Development Bank,Acholi,"Otani School   a.k.a. Jodo Shinshu Otani-ha, Higashi  Hongan-ji","Otani School   a.k.a. Jodo Shinshu Otani-ha, Higashi  Hongan-ji",Political Opposition,Political Opposition,Political Opposition,,Consider policy option,,Engage in material cooperation,,-5,,,,-5,,,Andorra,,,,,,,,Andorra,,,,,,,,Andorra,,,,,,,
,,,,,,,Caribbean,Al Qaeda,Ga,Takada School ,Takada School ,Rebels,Rebels,Rebels,,,Caribbean,Al Qaeda,Ga,Takada School ,Takada School ,Rebels,Rebels,Rebels,,Acknowledge or claim responsibility,,Provide aid,,-4,,,,-4,,,Angola,,,,,,,,Angola,,,,,,,,Angola,,,,,,,
,,,,,,,Caucasus,Arab Monetary Fund for Economic and Social Development,Adivasi,Bukkoji School ,Bukkoji School ,Separatist Rebels,Separatist Rebels,Separatist Rebels,,,Caucasus,Arab Monetary Fund for Economic and Social Development,Adivasi,Bukkoji School ,Bukkoji School ,Separatist Rebels,Separatist Rebels,Separatist Rebels,,Deny responsibility,,Yield,,-3,,,,-3,,,Anguilla,,,,,,,,Anguilla,,,,,,,,Anguilla,,,,,,,
,,,,,,,Central Africa,Amal Militia,Adjarians,Kosho School ,Kosho School ,State Intelligence,State Intelligence,State Intelligence,,,Central Africa,Amal Militia,Adjarians,Kosho School ,Kosho School ,State Intelligence,State Intelligence,State Intelligence,,Engage in symbolic act,,Investigate,,-2,,,,-2,,,Antarctica,,,,,,,,Antarctica,,,,,,,,Antarctica,,,,,,,
,,,,,,,Central Asia,Amnesty International,Adyghe,Kibe School ,Kibe School ,Unaligned Armed Forces,Unaligned Armed Forces,Unaligned Armed Forces,,,Central Asia,Amnesty International,Adyghe,Kibe School ,Kibe School ,Unaligned Armed Forces,Unaligned Armed Forces,Unaligned Armed Forces,,Make empathetic comment,,Demand,,-1,,,,-1,,,Antigua and Barbuda,,,,,,,,Antigua and Barbuda,,,,,,,,Antigua and Barbuda,,,,,,,
