20170417121500-0	20170417121500	2	BBC Monitoring	Afghan Channel One /BBC Monitoring/(c) BBC	KILL#95##5#Nangarhar;1283;MILITARY
20170417121500-1	20170417121500	2	BBC Monitoring	Yeni Safak website in English /BBC Monitoring/(c) BBC	KILL#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU;CRISISLEX_T03_DEAD#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU;KILL#9##4#Bitlis;248;SECURITY_SERVICES
20170417121500-2	20170417121500	2	BBC Monitoring	Voice of the Islamic Republic of Iran;1517;WB_1362_MEDICAL_EQUIPMENT
20170417121500-3	20170417121500	2	BBC Monitoring	Vision of the Islamic Republic of Iran Esfahan Provincial TV;Iran#IR#IR28#41131#32.7682#50.6287#-3057215#883;4#Hojjat
20170417121500-4	20170417121500	2	BBC Monitoring	BBC Monitoring/BBC Monitoring/(c) BBC			TERROR;ARMEDCONFLICT;TAX_FNCACT;TAX_FNCACT_SECRETARY;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;GENERAL_GOVERNMENT;TAX_TERROR_GROUP;TAX_TERROR_GROUP_DONETSK_PEOPLE_REPUBLIC;KILL;CRISISLEX_T03_DEAD;WOUND;CRISISLEX_T02_INJURED;WB_2433_CONFLICT_AND_VIOLENCE;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2445_NON_STATE_SECURITY_ACTORS;MILITARY;MEDIA_SOCIAL;TAX_FNCACT_VOLUNTEERS;TAX_FNCACT_MINISTER;REBELS;SOC_SUICIDE;	WOUND;333;GENERAL_GOVERNMENT
20170417121500-5	20170417121500	2	BBC Monitoring	BBC Monitoring/BBC Monitoring/(c) BBC			TAX_ETHNICITY;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_UKRAINIAN;TAX_FNCACT;TAX_FNCACT_TROOPS;CEASEFIRE;GENERAL_GOVERNMENT;TAX_TERROR_GROUP;TAX_TERROR_GROUP_DONETSK_PEOPLE_REPUBLIC;TAX_WEAPONS;TAX_WEAPONS_MORTARS;TAX_WEAPONS_GUNS;ARMEDCONFLICT;TAX_WEAPONS_GRENADE;TAX_FNCACT_DEPUTY;TAX_FNCACT_CHIEF;MILITARY;TAX_FNCACT_SERVICEMEN;TERROR;REBELS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2445_NON_STATE_SECURITY_ACTORS;CRISISLEX_C07_SAFETY;WB_2448_MILITIA;TAX_FNCACT_REPRESENTATIVE;	TAX_FNCACT_DEPUTY;519;MILITARY
20170417121500-6	20170417121500	2	BBC Monitoring	Hurriyet website in English /BBC Monitoring/(c) BBC			USPEC_POLITICS_GENERAL1;CONSTITUTIONAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;ELECTION;ELECTION_FRAUD;TAX_FNCACT;TAX_FNCACT_DEPUTY;TAX_FNCACT_LEADER;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_POLITICAL_PARTY_PEOPLE_PARTY;TAX_TERROR_GROUP;TAX_TERROR_GROUP_REPUBLICAN_PEOPLE_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN_PEOPLE_PARTY;MEDIA_MSM;CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;TAX_FNCACT_OFFICIALS;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;	TAX_FNCACT_DEPUTY;156;WB_2203_HUMAN_RIGHTS
20170417121500-7	20170417121500	1	businesswire.com	http://www.businesswire.com/news/home/20170417005083/en/Walmart%E2%80%99s-%E2%80%9CFight-Hunger.-Spark-Change.%E2%80%9D-Campaign-Calls			EPU_ECONOMY_HISTORIC;TAX_AIDGROUPS;TAX_AIDGROUPS_ACTION_AGAINST_HUNGER;CRISISLEX_CRISISLEXREC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;UNGP_FORESTS_RIVERS_OCEANS;TAX_ETHNICITY;TAX_ETHNICITY_AMERICANS;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_CEO;MOVEMENT_GENERAL;TAX_FNCACT_CHILDREN;TAX_FNCACT_GROCER;TAX_ECON_PRICE;FOOD_SECURITY;UNGP_AFFORDABLE_NUTRITIOUS_FOOD;TRANSPARENCY;TAX_FNCACT_LEADER;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;	TAX_FNCACT_GROCER;1232;CRISISLEX_CRISISLEXREC
20170417121500-8	20170417121500	1	goacom.com	http://goacom.com/kidney-failures-in-canacona-is-still-a-mystery/	AFFECT#9#line#1#India#IN#IN#20#77#IN;	AFFECT#9#line#1#India#IN#IN#20#77#IN#494;	TAX_DISEASE;TAX_DISEASE_RENAL;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED;TAX_DISEASE_DISEASE;WB_1406_DISEASES;WB_621_HEALTH_NUTRITION_AND_POPULATION;UNGP_HEALTHCARE;AFFECT;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;SOC_POINTSOFINTEREST_HOSPITALS;TAX_ETHNICITY;TAX_ETHNICITY_INDIAN;SCIENCE;TAX_DISEASE_UROLITHIASIS;TAX_DISEASE_HYPERPLASIA;TAX_DISEASE_PROSTATIC_HYPERPLASIA;EPU_CATS_MIGRATION_FEAR_FEAR;EPU_CATS_MIGRATION_FEAR_MIGRATION;SOC_MASSMIGRATION;TAX_FNCACT;TAX_FNCACT_CHILDREN;TAX_FNCACT_VICTIMS;CRISISLEX_CRISISLEXREC;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_REPRESENTATIVES;TAX_FNCACT_ADMINISTRATORS;UNGP_FORESTS_RIVERS_OCEANS;TAX_DISEASE_NEPHROPATHY;TAX_DISEASE_BALKAN_ENDEMIC_NEPHROPATHY;TAX_FOODSTAPLES;TAX_FOODSTAPLES_CEREALS;WB_137_WATER;WATER_SECURITY;UNGP_CLEAN_WATER_SANITATION;MANMADE_DISASTER;MANMADE_DISASTER_RADIOACTIVE;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;ARREST;SOC_GENERALCRIME;	GENERAL_GOVERNMENT;1855;WB_621_HEALTH_NUTRITION_AND_POPULATION
20170417121500-9	20170417121500	1	thenewstribune.com	http://www.thenewstribune.com/news/nation-world/article144969504.html			TAX_FNCACT;TAX_FNCACT_STUDENT;WMD;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_LEADER;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_WOMAN;BULLYING;UNGP_FREEDOM_FROM_DISCRIMINATION;IMMIGRATION;TAX_FNCACT_IMMIGRANTS;TAX_FNCACT_WOMEN;BAN;TAX_RELIGION;TAX_RELIGION_MUSLIMS;TAX_ETHNICITY;TAX_ETHNICITY_MUSLIMS;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1024_PUBLIC_INTERNATIONAL_LAW;WB_1026_TREATIES;WB_962_INTERNATIONAL_LAW;UNGP_FORESTS_RIVERS_OCEANS;ENV_CLIMATECHANGE;WB_567_CLIMATE_CHANGE;CRISISLEX_CRISISLEXREC;UNGP_CLIMATE_CHANGE_ACTION;TAX_FNCACT_SCOUT;TAX_FNCACT_LAWMAKER;ENV_SOLAR;	BAN;1105;WB_567_CLIMATE_CHANGE
20170417121500-10	20170417121500	1	newsandtribune.com	http://www.newsandtribune.com/news/thunder-over-southern-indiana-what-you-should-know-if-you/article_3f2d34ca-222f-11e7-a66e-5f049b9c0732.html			TAX_FNCACT;TAX_FNCACT_OFFICIAL;MANMADE_DISASTER_IMPLIED;ARMEDCONFLICT;MILITARY;MARITIME_INCIDENT;MARITIME;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;MEDIA_SOCIAL;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;SEIGE;CHECKPOINT;UNREST_CHECKPOINT;TAX_FNCACT_OFFICERS;TRAFFIC;CLOSURE;TAX_FNCACT_SUPERINTENDENT;GENERAL_GOVERNMENT;TAX_FNCACT_SECRETARY;EDUCATION;WB_470_EDUCATION;APPOINTMENT;LEADER;TAX_FNCACT_GOVERNOR;	TRAFFIC;2706;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION
20170417121500-11	20170417121500	1	thestar.com	https://www.thestar.com/news/gta/2017/04/17/gardiner-already-backed-up-on-first-day-of-downtown-ramp-closure.html					1#Canada#CA#CA#60#-95#CA;4#Toronto;Ontario
20170417121500-12	20170417121500	1	titusvilleherald.com	http://www.titusvilleherald.com/obituaries/article_99a6c9e4-2323-11e7-aae6-8b3ebe21214b.html			TAX_FNCACT;TAX_FNCACT_CHILDREN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SWEDISH;	TAX_WORLDLANGUAGES_SWEDISH;c12.10:11
20170417121500-13	20170417121500	1	hobartpulp.com	http://www.hobartpulp.com/web_features/another-evening-down-at-the-ballpark			EDUCATION;	EDUCATION;6.73575129533679
