GKGRECORDID,V2.1DATE,V2SOURCECOLLECTIONIDENTIFIER,V2SOURCECOMMONNAME,V2DOCUMENTIDENTIFIER,V1COUNTS,CountType,Count,ObjectType,V2.1COUNTS,V1THEMES,V2ENHANCEDTHEMES,V1LOCATIONS,LocationType,Location FullName,LocationCountryCode,V2ENHANCEDLOCATIONS,V1PERSONS,V2ENHANCEDPERSONS,V1ORGANIZATIONS,V2ENHANCEDORGANIZATIONS,V1.5TONE,V2.1ENHANCEDDATES,Day,Month,Year,V2GCAM,V2.1SHARINGIMAGE,V2.1RELATEDIMAGES,V2.1SOCIALIMAGEEMBEDS,V2.1SOCIALVIDEOEMBEDS,V2.1QUOTATIONS,QuoteLength,QuoteVerb,Quote,V2.1ALLNAMES,V2.1AMOUNTS,Amount,Object,V2.1TRANSLATIONINFO,SourceLanguageCode,TranslationEngine,V2EXTRASXML,Authors,Title,BookTitle,Date,Journal
,,Web,BBC Monitoring,,,Affect,,,,Affect,,,Country,,Afghanistan,,,,,,-10,,1,1,2013,,,,,,,,,Seach for words in Quote,,,,,,Afar,,,,,,,
,,Citation Only,Domain Name,,,Arrest,,,,Arrest,,,US State,,Akrotiri Sovereign Base Area,,,,,,-9,,2,2,2014,,,,,,,,,,,,,,,Austro-Asiatic languages,,,,,,,
,,Core,,,,Displaced,,,,Displaced,,,US City,,Albania,,,,,,-8,,2,2,2015,,,,,,,,,,,,,,,Abkhazian,,,,,,,
,,Defense Technical Information Center,,,,Evacuation,,,,Evacuation,,,World City International,,Algeria,,,,,,-7,,4,4,2016,,,,,,,,,,,,,,,Achinese,,,,,,,
,,Journal Storage,,,,Kidnap,,,,Kidnap,,,World Region,,American Samoa,,,,,,-6,,5,5,,,,,,,,,,,,,,,,Acoli,,,,,,,
,,Non Textual Source,,,,Kill,,,,Kill,,,,,Andorra,,,,,,-5,,6,6,,,,,,,,,,,,,,,,Adangme,,,,,,,
,,,,,,Protest,,,,Protest,,,,,Angola,,,,,,-4,,7,7,,,,,,,,,,,,,,,,Adyghe,,,,,,,
,,,,,,Refugees,,,,Refugees,,,,,Anguilla,,,,,,-3,,8,8,,,,,,,,,,,,,,,,Afro-Asiatic languages,,,,,,,
,,,,,,Seize,,,,Seize,,,,,Antarctica,,,,,,-2,,9,9,,,,,,,,,,,,,,,,Afrihili,,,,,,,
,,,,,,Sickened,,,,Sickened,,,,,Antigua and Barbuda,,,,,,-1,,10,10,,,,,,,,,,,,,,,,Afrikaans,,,,,,,
,,,,,,Wound,,,,Wound,,,,,Argentina,,,,,,0,,11,11,,,,,,,,,,,,,,,,Ainu (Japan),,,,,,,
,,,,,,,,,,Taxonomy Drug Cartels,,,,,Armenia,,,,,,1,,12,12,,,,,,,,,,,,,,,,Akan,,,,,,,
