Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c19.1,19,1,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (All),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.1,19,1,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (All) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.2,19,2,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Arousal (All),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.2,19,2,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Arousal (All) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.3,19,3,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Dominance (All),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.3,19,3,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Dominance (All) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.4,19,4,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (Men),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.4,19,4,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (Men) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.5,19,5,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Arousal (Men),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.5,19,5,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Arousal (Men) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.6,19,6,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Dominance (Men),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.6,19,6,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Dominance (Men) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.7,19,7,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (Women),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.7,19,7,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Valence (Pleasure) (Women) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.8,19,8,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Arousal (Women),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.8,19,8,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Arousal (Women) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
c19.9,19,9,WORDCOUNT,eng,Affective Norms for English Words (ANEW) 2010,Dominance (Women),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
v19.9,19,9,SCOREDVALUE,eng,Affective Norms for English Words (ANEW) 2010,Dominance (Women) (Scored Value),"M.M., & Lang, P.J. (1999). Affective norms for English words (ANEW): Stimuli, instruction manual and affective ratings. Technical report C-1, Gainesville, FL. The Center for Research in Psychophysiology, University of Florida."
