Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c35.1,35,1,WORDCOUNT,eng,Hogenraad's Motive Dictionary,InstrumentalRID,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.2,35,2,WORDCOUNT,eng,Hogenraad's Motive Dictionary,NeedH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.3,35,3,WORDCOUNT,eng,Hogenraad's Motive Dictionary,GoalH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.4,35,4,WORDCOUNT,eng,Hogenraad's Motive Dictionary,TryH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.5,35,5,WORDCOUNT,eng,Hogenraad's Motive Dictionary,MeansH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.6,35,6,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PersistH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.7,35,7,WORDCOUNT,eng,Hogenraad's Motive Dictionary,CompleteH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.8,35,8,WORDCOUNT,eng,Hogenraad's Motive Dictionary,FinishH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.9,35,9,WORDCOUNT,eng,Hogenraad's Motive Dictionary,MeansLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.10,35,10,WORDCOUNT,eng,Hogenraad's Motive Dictionary,FailH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.11,35,11,WORDCOUNT,eng,Hogenraad's Motive Dictionary,TransactionGainLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.12,35,12,WORDCOUNT,eng,Hogenraad's Motive Dictionary,TransactionLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.13,35,13,WORDCOUNT,eng,Hogenraad's Motive Dictionary,AffectionRID,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.14,35,14,WORDCOUNT,eng,Hogenraad's Motive Dictionary,SocialBehaviorRID,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.15,35,15,WORDCOUNT,eng,Hogenraad's Motive Dictionary,AffiliationGainH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.16,35,16,WORDCOUNT,eng,Hogenraad's Motive Dictionary,AffiliationLossLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.17,35,17,WORDCOUNT,eng,Hogenraad's Motive Dictionary,AffectParticipantLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.18,35,18,WORDCOUNT,eng,Hogenraad's Motive Dictionary,OtherAffect,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.19,35,19,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PositiveAffectLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.20,35,20,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerH4,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.21,35,21,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerGainLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.22,35,22,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerLossLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.23,35,23,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerEndsLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.24,35,24,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerConflictLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.25,35,25,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerCooperationLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.26,35,26,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerAuthoritativeParticipantsLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.27,35,27,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerOrdinaryParticipantsLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.28,35,28,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerIdeasLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.29,35,29,WORDCOUNT,eng,Hogenraad's Motive Dictionary,PowerToolsFormsLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.30,35,30,WORDCOUNT,eng,Hogenraad's Motive Dictionary,ResidualPowerWordsLw,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.31,35,31,WORDCOUNT,eng,Hogenraad's Motive Dictionary,Achievement,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
c35.32,35,32,WORDCOUNT,eng,Hogenraad's Motive Dictionary,Affiliation,"Hogenraad, Robert. (2013). Hogenraad's Motive Dictionary, Version 7.0."
