Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c39.1,39,1,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Time,"Hogenraad, Robert. TIME Dictionary."
c39.2,39,2,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Neverness,"Hogenraad, Robert. TIME Dictionary."
c39.3,39,3,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Period,"Hogenraad, Robert. TIME Dictionary."
c39.4,39,4,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Course (Indefinite Duration),"Hogenraad, Robert. TIME Dictionary."
c39.5,39,5,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Contingent Duration,"Hogenraad, Robert. TIME Dictionary."
c39.6,39,6,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Diuturnity (Long Duration),"Hogenraad, Robert. TIME Dictionary."
c39.7,39,7,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Transientness,"Hogenraad, Robert. TIME Dictionary."
c39.8,39,8,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Perpetuity (Endless Duration),"Hogenraad, Robert. TIME Dictionary."
c39.9,39,9,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Instantaneity (Point Of Time),"Hogenraad, Robert. TIME Dictionary."
c39.10,39,10,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Chronometry,"Hogenraad, Robert. TIME Dictionary."
c39.11,39,11,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Anachronism,"Hogenraad, Robert. TIME Dictionary."
c39.12,39,12,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Priority,"Hogenraad, Robert. TIME Dictionary."
c39.13,39,13,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Posteriority,"Hogenraad, Robert. TIME Dictionary."
c39.14,39,14,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Present Time,"Hogenraad, Robert. TIME Dictionary."
c39.15,39,15,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Different Time,"Hogenraad, Robert. TIME Dictionary."
c39.16,39,16,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Synchronism,"Hogenraad, Robert. TIME Dictionary."
c39.17,39,17,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Futurity,"Hogenraad, Robert. TIME Dictionary."
c39.18,39,18,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Preterition,"Hogenraad, Robert. TIME Dictionary."
c39.19,39,19,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Newness,"Hogenraad, Robert. TIME Dictionary."
c39.20,39,20,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Oldness,"Hogenraad, Robert. TIME Dictionary."
c39.21,39,21,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Morning,"Hogenraad, Robert. TIME Dictionary."
c39.22,39,22,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Evening,"Hogenraad, Robert. TIME Dictionary."
c39.23,39,23,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Youth,"Hogenraad, Robert. TIME Dictionary."
c39.24,39,24,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Age,"Hogenraad, Robert. TIME Dictionary."
c39.25,39,25,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Young Person,"Hogenraad, Robert. TIME Dictionary."
c39.26,39,26,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Old Person,"Hogenraad, Robert. TIME Dictionary."
c39.27,39,27,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Adultness,"Hogenraad, Robert. TIME Dictionary."
c39.28,39,28,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Earliness,"Hogenraad, Robert. TIME Dictionary."
c39.29,39,29,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Lateness,"Hogenraad, Robert. TIME Dictionary."
c39.30,39,30,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Occasion,"Hogenraad, Robert. TIME Dictionary."
c39.31,39,31,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Intempestivity,"Hogenraad, Robert. TIME Dictionary."
c39.32,39,32,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Frequency,"Hogenraad, Robert. TIME Dictionary."
c39.33,39,33,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Infrequency,"Hogenraad, Robert. TIME Dictionary."
c39.34,39,34,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Regularity,"Hogenraad, Robert. TIME Dictionary."
c39.35,39,35,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Fitfulness,"Hogenraad, Robert. TIME Dictionary."
c39.36,39,36,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Absolute Time,"Hogenraad, Robert. TIME Dictionary."
c39.37,39,37,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Relative Time,"Hogenraad, Robert. TIME Dictionary."
c39.38,39,38,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Recurrent Time,"Hogenraad, Robert. TIME Dictionary."
c39.39,39,39,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Past,"Hogenraad, Robert. TIME Dictionary."
c39.40,39,40,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Present,"Hogenraad, Robert. TIME Dictionary."
c39.41,39,41,WORDCOUNT,eng,Hogenraad's TIME Dictionary,Future,"Hogenraad, Robert. TIME Dictionary."
