Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c4.1,4,1,WORDCOUNT,eng,Lexicoder Topic Dictionaries,MACROECONOMICS,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.2,4,2,WORDCOUNT,eng,Lexicoder Topic Dictionaries,CIVIL_RIGHTS,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.3,4,3,WORDCOUNT,eng,Lexicoder Topic Dictionaries,HEALTHCARE,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.4,4,4,WORDCOUNT,eng,Lexicoder Topic Dictionaries,AGRICULTURE,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.5,4,5,WORDCOUNT,eng,Lexicoder Topic Dictionaries,FORESTRY,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.6,4,6,WORDCOUNT,eng,Lexicoder Topic Dictionaries,LABOUR,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.7,4,7,WORDCOUNT,eng,Lexicoder Topic Dictionaries,IMMIGRATION,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.8,4,8,WORDCOUNT,eng,Lexicoder Topic Dictionaries,EDUCATION,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.9,4,9,WORDCOUNT,eng,Lexicoder Topic Dictionaries,ENVIRONMENT,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
c4.10,4,10,WORDCOUNT,eng,Lexicoder Topic Dictionaries,ENERGY,"Albugh, Quinn, Julie Sevenans and Stuart Soroka. (2013). 'Lexicoder Topic Dictionaries, June 2013 versions.' McGill University, Montreal, Canada.  Available at http://lexicoder.com/"
