Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c5.2,5,2,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Death,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.3,5,3,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Religion,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.4,5,4,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Money,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.5,5,5,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Home,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.6,5,6,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Leisure,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.7,5,7,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Achievement,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.8,5,8,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Work,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.9,5,9,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Time,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.10,5,10,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Space,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.11,5,11,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Motion,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
