Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c20.1,20,1,WORDCOUNT,eng,ML-SENTICON (English),Level1Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v20.1,20,1,SCOREDVALUE,eng,ML-SENTICON (English),Level1Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c20.2,20,2,WORDCOUNT,eng,ML-SENTICON (English),Level1Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v20.2,20,2,SCOREDVALUE,eng,ML-SENTICON (English),Level1Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c20.3,20,3,WORDCOUNT,eng,ML-SENTICON (English),Level2Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v20.3,20,3,SCOREDVALUE,eng,ML-SENTICON (English),Level2Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c20.4,20,4,WORDCOUNT,eng,ML-SENTICON (English),Level2Negative,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v20.4,20,4,SCOREDVALUE,eng,ML-SENTICON (English),Level2Negative (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
c20.5,20,5,WORDCOUNT,eng,ML-SENTICON (English),Level3Positive,"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
v20.5,20,5,SCOREDVALUE,eng,ML-SENTICON (English),Level3Positive (Scored Value),"Cruz, Fermin L., Jose A. Troyano, Beatriz Pontes, F. Javier Ortega. Building layered, multilingual sentiment lexicons at synset and lemma levels, Expert Systems with Applications, 2014"
