Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c22.1,22,1,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (All),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.1,22,1,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (All) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.2,22,2,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (All),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.2,22,2,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (All) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.3,22,3,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (All),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.3,22,3,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (All) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.4,22,4,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (Women),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.4,22,4,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (Women) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.5,22,5,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (Women),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.5,22,5,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (Women) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.6,22,6,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (Women),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.6,22,6,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (Women) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.7,22,7,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (Men),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.7,22,7,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Valence (Pleasure) (Men) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.8,22,8,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (Men),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.8,22,8,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Arousal (Men) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.9,22,9,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (Men),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.9,22,9,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Dominance (Men) (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.10,22,10,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Familiarity,"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.10,22,10,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Familiarity (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
c22.11,22,11,WORDCOUNT,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Concreteness,"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
v22.11,22,11,SCOREDVALUE,spa,Spanish Adaptation of Affective Norms for English Words (Spanish ANEW),Concreteness (Scored Value),"Redondo, Jaime, Isabel Fraga, Isabel Padron, and Montserrat Comesana. 'The Spanish adaptation of ANEW (affective norms for English words).' Behavior Research Methods, vol. 39, no. 3 (2007): 600-605."
