Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c8.1,8,1,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/AFFECTION,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.2,8,2,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/AGGRESSION,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.3,8,3,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/ANXIETY,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.4,8,4,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/EXPRESSIVE_BEH,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.5,8,5,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/GLORY,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.6,8,6,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/POSITIVE_AFFECT,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.7,8,7,WORDCOUNT,eng,Regressive Imagery Dictionary,EMOTIONS/SADNESS,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.8,8,8,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/DEFENSIVE_SYMBOL/CHAOS,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.9,8,9,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/DEFENSIVE_SYMBOL/DIFFUSION,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.10,8,10,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/DEFENSIVE_SYMBOL/PASSIVITY,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.11,8,11,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/DEFENSIVE_SYMBOL/RANDOM MOVEMENT,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.12,8,12,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/DEFENSIVE_SYMBOL/VOYAGE,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.13,8,13,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/ASCEND,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.14,8,14,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/DEPTH,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.15,8,15,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/DESCENT,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.16,8,16,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/FIRE,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.17,8,17,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/HEIGHT,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.18,8,18,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/ICARIAN_IM/WATER,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.19,8,19,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/NEED/ANALITY,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.20,8,20,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/NEED/ORALITY,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.21,8,21,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/NEED/SEX,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
c8.22,8,22,WORDCOUNT,eng,Regressive Imagery Dictionary,PRIMARY/REGR_KNOL/BRINK-PASSAGE,"Martindale C. (1987). 'Narrative pattern analysis: A quantitative method for inferring the symbolic meaning of narratives'. In Literary discourse: Aspects of cognitive and social psychological approaches Halasz L. (ed) pp167-181, Berlin: de Gruyter"
