Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Category,SubCategory,Level1,Level2,Level3,
c9.1,9,1,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Being Abstract,Existence,,
c9.2,9,2,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Being Abstract,Inexistence,,
c9.3,9,3,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Being Concrete,Substantiality,,
c9.4,9,4,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Being Concrete,Unsubstantiality,,
c9.5,9,5,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Formal Existence,Internal Conditions,Intrinsicality,
c9.6,9,6,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Formal Existence,External Conditions,Extrinsicality,
c9.7,9,7,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Modal Existence,Absolute state,,
c9.8,9,8,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Existence,Modal Existence,Relative circumstance,,
c9.9,9,9,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Irrelation,,
c9.10,9,10,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Consanguinity,,
c9.11,9,11,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Correlation,,
c9.12,9,12,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Identity,,
c9.13,9,13,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Contrariety,,
c9.14,9,14,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Difference,,
c9.15,9,15,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Absolute Relation,Relation,,
c9.16,9,16,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Continuous Relation,Uniformity,,
c9.17,9,17,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Continuous Relation,Non-uniformity,,
c9.18,9,18,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Similarity,,
c9.19,9,19,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Dissimilarity,,
c9.20,9,20,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Imitation,,
c9.21,9,21,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Non-imitation,,
c9.22,9,22,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Variation,,
c9.23,9,23,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Copy,,
c9.24,9,24,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,Partial Relation,Prototype,,
c9.25,9,25,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,General Relation,Agreement,,
c9.26,9,26,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Relation,General Relation,Disagreement,,
c9.27,9,27,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Simple Quantity,Quantity,,
c9.28,9,28,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Simple Quantity,Degree,,
c9.29,9,29,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison General,Equality,
c9.30,9,30,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison General,Inequality,
c9.31,9,31,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison General,Mean,
c9.32,9,32,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison General,Compensation,
c9.33,9,33,WORDCOUNT,eng,Roget's Thesaurus, Abstract Relations,Quantity,Comparative Quantity,Comparison With Standard,Greatness,
