Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Dimensionhumanname
c9.1,9,1,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.1 Being Abstract/1 Existence
c9.2,9,2,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.1 Being Abstract/2 Inexistence
c9.3,9,3,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.2 Being Concrete/3 Substantiality
c9.4,9,4,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.2 Being Concrete/4 Unsubstantiality
c9.5,9,5,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.3 Formal Existence/1.1.3.1 Internal Conditions/5 Intrinsicality
c9.6,9,6,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.3 Formal Existence/1.1.3.2 External Conditions/6 Extrinsicality
c9.7,9,7,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.4 Modal Existence/7 Absolute/state
c9.8,9,8,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.4 Modal Existence/8 Relative/circumstance
c9.9,9,9,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/10 Irrelation
c9.10,9,10,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/11 Consanguinity
c9.11,9,11,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/12 Correlation
c9.12,9,12,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/13 Identity
c9.13,9,13,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/14 Contrariety
c9.14,9,14,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/15 Difference
c9.15,9,15,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/9 Relation
c9.16,9,16,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.2 Continuous Relation/16 Uniformity
c9.17,9,17,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.2 Continuous Relation/17 Non-uniformity
c9.18,9,18,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/18 Similarity
c9.19,9,19,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/19 Dissimilarity
c9.20,9,20,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/20 Imitation
c9.21,9,21,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/21 Non-imitation
c9.22,9,22,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/22 Variation
c9.23,9,23,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/23 Copy
c9.24,9,24,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/24 Prototype
c9.25,9,25,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.4 General Relation/25 Agreement
c9.26,9,26,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.4 General Relation/26 Disagreement
c9.27,9,27,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.1 Simple Quantity/27 Quantity
c9.28,9,28,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.1 Simple Quantity/28 Degree
c9.29,9,29,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.1 Comparison General/29 Equality
c9.30,9,30,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.1 Comparison General/30 Inequality
c9.31,9,31,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.1 Comparison General/31 Mean
c9.32,9,32,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.1 Comparison General/32 Compensation
c9.33,9,33,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.2 Comparison With Standard/33 Greatness
c9.34,9,34,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.2 Comparison With Standard/34 Smallness
c9.35,9,35,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.3 Comparison With Similar/35 Superiority
c9.36,9,36,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.3 Comparison With Similar/36 Inferiority
c9.37,9,37,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.4 Changes In Quantity/37 Increase
c9.38,9,38,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.2 Comparative Quantity/1.3.2.4 Changes In Quantity/38 Decrease
c9.39,9,39,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/39 Addition
c9.40,9,40,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/40 Subtraction
c9.41,9,41,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/41 Adjunct
c9.42,9,42,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/42 Remainder
c9.43,9,43,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/43 Decrement
c9.44,9,44,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/44 Mixture
c9.45,9,45,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/45 Simpleness
c9.46,9,46,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/46 Junction
c9.47,9,47,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/47 Disjunction
c9.48,9,48,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/48 Connection
c9.49,9,49,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/49 Coherence
c9.50,9,50,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/50 Incoherence
c9.51,9,51,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/51 Combination
c9.52,9,52,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.3 Conjunctive Quantity/52 Decomposition
c9.53,9,53,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/53 Whole
c9.54,9,54,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/54 Part
c9.55,9,55,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/55 3 Completeness
c9.56,9,56,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/56 Incompleteness
