Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Dimensionhumanname,DictionaryCitation
c9.1,9,1,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.1 Being Abstract/1 Existence,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.2,9,2,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.1 Being Abstract/2 Inexistence,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.3,9,3,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.2 Being Concrete/3 Substantiality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.4,9,4,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.2 Being Concrete/4 Unsubstantiality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.5,9,5,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.3 Formal Existence/1.1.3.1 Internal Conditions/5 Intrinsicality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.6,9,6,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.3 Formal Existence/1.1.3.2 External Conditions/6 Extrinsicality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.7,9,7,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.4 Modal Existence/7 Absolute/state,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.8,9,8,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.1 Existence/1.1.4 Modal Existence/8 Relative/circumstance,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.9,9,9,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/10 Irrelation,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.10,9,10,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/11 Consanguinity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.11,9,11,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/12 Correlation,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.12,9,12,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/13 Identity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.13,9,13,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/14 Contrariety,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.14,9,14,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/15 Difference,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.15,9,15,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.1 Absolute Relation/9 Relation,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.16,9,16,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.2 Continuous Relation/16 Uniformity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.17,9,17,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.2 Continuous Relation/17 Non-uniformity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.18,9,18,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/18 Similarity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.19,9,19,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/19 Dissimilarity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.20,9,20,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/20 Imitation,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.21,9,21,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.2 Relation/1.2.3 Partial Relation/21 Non-imitation,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
