Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c18.1,18,1,WORDCOUNT,eng,GDELT GKG Themes,KILL,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.2,18,2,WORDCOUNT,eng,GDELT GKG Themes,WOUND,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.3,18,3,WORDCOUNT,eng,GDELT GKG Themes,PROTEST,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.4,18,4,WORDCOUNT,eng,GDELT GKG Themes,POLITICAL_TURMOIL,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.5,18,5,WORDCOUNT,eng,GDELT GKG Themes,PROPERTY_RIGHTS,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.6,18,6,WORDCOUNT,eng,GDELT GKG Themes,TOURISM,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.7,18,7,WORDCOUNT,eng,GDELT GKG Themes,SURVEILLANCE,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.8,18,8,WORDCOUNT,eng,GDELT GKG Themes,HARASSMENT,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.9,18,9,WORDCOUNT,eng,GDELT GKG Themes,GRIEVANCES,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.10,18,10,WORDCOUNT,eng,GDELT GKG Themes,AUSTERITY,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.11,18,11,WORDCOUNT,eng,GDELT GKG Themes,HATE_SPEECH,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.12,18,12,WORDCOUNT,eng,GDELT GKG Themes,BULLYING,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.13,18,13,WORDCOUNT,eng,GDELT GKG Themes,MEDIA_MSM,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.14,18,14,WORDCOUNT,eng,GDELT GKG Themes,MEDIA_SOCIAL,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.15,18,15,WORDCOUNT,eng,GDELT GKG Themes,BLACK_MARKET,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.16,18,16,WORDCOUNT,eng,GDELT GKG Themes,JIHAD,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.17,18,17,WORDCOUNT,eng,GDELT GKG Themes,CLAIM_CREDIT,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.18,18,18,WORDCOUNT,eng,GDELT GKG Themes,NEGOTIATIONS,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.19,18,19,WORDCOUNT,eng,GDELT GKG Themes,RATIFY,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.20,18,20,WORDCOUNT,eng,GDELT GKG Themes,VETO,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.21,18,21,WORDCOUNT,eng,GDELT GKG Themes,LEGISLATION,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.22,18,22,WORDCOUNT,eng,GDELT GKG Themes,EXHUMATION,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
c18.23,18,23,WORDCOUNT,eng,GDELT GKG Themes,RELATIONS,Kalev Hannes Leetaru. (2013).  'The GDELT Global Knowledge Graph (GKG)'.  Available http://gdeltproject.org/
