Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c17.1,17,1,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,ADJ/ALL,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.2,17,2,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,ADJ/PERT,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.3,17,3,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,ADJ/PPL,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.4,17,4,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,ADV/ALL,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.5,17,5,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/ACT,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.6,17,6,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/ANIMAL,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.7,17,7,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/ARTIFACT,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.8,17,8,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/ATTRIBUTE,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.9,17,9,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/BODY,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.10,17,10,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/COGNITION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.11,17,11,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/COMMUNICATION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.12,17,12,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,NOUN/EVENT,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
