Type,Code,Name,Description
Count,AFFECT,Affect,"This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc"
Count,ARREST,Arrest,"Discussion of someone being arrested, detained, jailed, imprisoned, etc"
Count,DISPLACED,Displaced,"This category counts mentions of people being displaced - see REFUGEES for counts of refugees, forced migration, and related"
Count,EVACUATION,Evacuation,Mentions of evacuations
Count,KIDNAP,Kidnap,"Someone being kidnapped, abducted, hostages, etc"
Count,KILL,Kill,Any mention of something dying
Count,PROTEST,Protest,"Discussion of protesting, demonstrating, rioting, striking, activists, agitators, etc"
Count,REFUGEES,Refugees,"Refugees, displaced persons, forced migration, asylum seekers"
Count,SEIZE,Seize,"Something being seized (often drugs, illegal materials, etc)"
Count,SICKENED,Sickened,This category counts anything being sickened
Count,WOUND,Wound,Any mention of something being wounded or injured
Taxonomy,TAX_CARTELS,Taxonomy Drug Cartels,Returns any mention of a major recognized drug cartel
Taxonomy,TAX_DISEASE,Taxonomy Infectiuos Disease,Returns any mention of a major infectious disease
Taxonomy,TAX_ETHNICITY,Taxonomy Ethnicity,Returns any mention of a major ethnicity from around the world (expands CAMEOETH)
Taxonomy,TAX_FNCACT,Taxonomy Functional Actor,"Returns any mention of a ""functional actor"", which is essentially a ""role"" from a ""child"" to a ""burgler"" to get a better understanding of the specific roles of people involved "
Taxonomy,TAX_FOODSTAPLES,Taxonomy Food Staples,"Captures a cross-section of major food staples like bread, rice, etc"
Taxonomy,TAX_MILITARY_TITLE,Taxonomy Military Title,"Returns any mention of a senior military title such as Captain, Lieutenant Colonel, etc"
Taxonomy,TAX_POLITICAL_PARTY,Taxonomy Political Party,Returns any mention of a major recognized political party around the world
Taxonomy,TAX_RELIGION,Taxonomy Religion,Returns any mention of a major religion from around the world (expands CAMEOREL)
Taxonomy,TAX_SPECIAL_ISSUES,Taxonomy Special Issues,Returns mentions of special issues such as certain major laws and will eventually be replaced by a new tracking system for those
Taxonomy,TAX_SPECIALDEATH,Taxonomy Special Death,Special kinds of death such as beheadings
Taxonomy,TAX_TERROR_GROUP,Taxonomy Terror Group,Returns any mention of a major recognized terror group around the world
Taxonomy,TAX_WEAPONS,Taxonomy Weapons,Specific weaponry
Topic,ACT_FORCEPOSTURE,Action Force Posture,Actions relating to changes in force posture
Topic,ACT_HARMTHREATEN,Action Harm or Threaten,Actions relating to harming or threatening
Topic,ACT_MAKESTATEMENT,Action Make Statement,Actions relating to making a statement
Topic,ACT_YIELD,Action Yield,Actions relating to yielding
Topic,AGRICULTURE,Agriculture,General discussion of agriculture
Topic,ALLIANCE,Alliance,Self-identified discussion of alliances and coalitions
Topic,APPOINTMENT,Appointment,An appointment of someone to something
Topic,ARMEDCONFLICT,Armedconflict,"Primary discussion of armed conflict, from ground assaults to air raids"
Topic,ASSASSINATION,Assassination,Actual discussion of assassination
Topic,AUSTERITY,Austerity,Mention of austerity.
