GKGTopicCode,GKGTopic ,GKGDescription 
ACT_FORCEPOSTURE,Force Posture,Actions relating to changes in force posture
ACT_HARMTHREATEN,Harm or Threaten,Actions relating to harming or threatening
ACT_MAKESTATEMENT,Make Statement,Actions relating to making a statement
ACT_YIELD,Yield,Actions relating to yielding
AGRICULTURE,Agriculture,General discussion of agriculture
ALLIANCE,Alliance,Self-identified discussion of alliances and coalitions
APPOINTMENT,Appointment,An appointment of someone to something
ARMEDCONFLICT,Armedconflict,"Primary discussion of armed conflict, from ground assaults to air raids"
ASSASSINATION,Assassination,Actual discussion of assassination
AUSTERITY,Austerity,Mention of austerity.
AVIATION_INCIDENT,Aviation Incident,"Plane/helicopter crashes, collisions, accidents."
BAN,Ban,"Something being banned, prohibited, outlawed, criminalized, etc"
BLACK_MARKET,Black Market,"Actual mentions of ""black market"", not related terms"
BLOCKADE,Blockade,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
BORDER,Border,Any discussion of borders
BULLYING,Bullying,"Explicit mention of the word ""bullying/cyberbullying"""
CEASEFIRE,Ceasefire,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
CHARASMATIC_LEADERSHIP,Charasmatic Leadership,Charasmatic leadership
CHECKPOINT,Checkpoint,Security checkpoints
CLAIM_CREDIT,Claim Credit,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
CLOSURE,Closure,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
CONFISCATION,Confiscation,Actual mention of confiscation in the text
CONSTITUTIONAL,Constitutional,Discussion of constitutionalism
CORRUPTION,Corruption,"Corruption, kickbacks, embezzling, profiteering, etc"
CRIME_CARTELS,Crime Cartels,"Primarily focused around mentions of drug cartels, drug corridors, etc. Does not currently have a list of cartels, just captures general discussion of them"
CRIME_COMMON_ROBBERY,Crime Common Robbery,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
CRIME_ILLEGAL_DRUGS,Crime Illegal Drugs,Mentions of illegal drugs
CURFEW,Curfew,Discussion of any curfew
CYBER_ATTACK,Cyber Attack,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc"
DEATH_PENALTY,Death Penalty,From general discussion of capital punishment to actual mentions of death sentences
DEFECTION,Defection,Any discussion of defection or defectors
DELAY,Delay,"Canceling, postponing, stalling delaying anything"
DEMOCRACY,Democracy,"Actual mention of the term ""democracy"""
DISABILITY,Disability,"Disability, disabled, handicapped."
DISCRIMINATION,Discrimination,"Racism, homophobia, xenophobia, etc"
DRONE,Drone,"Drones, UAVs."
DRUG_TRADE,Drug Trade,General discussion of the drug trade in broad terms - broader than the other categories
ECON_BANKRUPTCY,Economic Bankruptcy,Bankruptcy and bailouts
ECON_BOYCOTT,Economic Boycott,Boycotts
ECON_COST_OF_LIVING,Economic Cost Of Living,"Explicit mention of ""cost of living"", ""median wage"", etc"
ECON_CURRENCY_EXCHANGE_RATE,Economic Currency Exchange Rate,"Exchange rates, foreign exchange, forex, currency fluctuation, etc"
ECON_CURRENCY_RESERVES,Economic Currency Reserves,"Currency reserves, forex reserves, dollar and euro reserves, etc"
ECON_CUTOUTLOOK,Economic Cutoutlook,Cutting economic outlook
ECON_DEBT,Economic Debt,Discussion of debt
ECON_DEREGULATION,Economic Deregulation,Economic deregulation
ECON_EARNINGSREPORT,Economic Earningsreport,"Earnings reports, etc"
ECON_ENTREPRENEURSHIP,Economic Entrepreneurship,"Entrepreneurship, venture capital, seed funding, angel investors, etc"
ECON_FOREIGNINVEST,Economic Foreigninvest,Foreign investment
ECON_FREETRADE,Economic Freetrade,Free trade
ECON_HOUSING_PRICES,Economic Housing Prices,"Housing prices, real estate, and other explicit discussion of property"
ECON_INFORMAL_ECONOMY,Economic Informal Economy,Informal economies
ECON_INTEREST_RATES,Economic Interest Rates,"Interest rates, benchmark rates, overnight rates, libor, etc"
ECON_IPO,Economic Ipo,Initial Public Offerings
ECON_MONOPOLY,Economic Monopoly,"Monopolies, anticompetitive practice, etc"
ECON_MOU,Economic Mou,Relating to a Memorandum of Understanding
ECON_NATIONALIZE,Economic Nationalize,"Discussion of nationalization of industry, etc"
ECON_PRICECONTROL,Economic Pricecontrol,Price controls
ECON_REMITTANCE,Economic Remittance,Remittance
