EventCode,GoldsteinScale,Description,Description
1,0,MAKE PUBLIC STATEMENT,MAKE PUBLIC STATEMENT
10,0,Make statement not specified below,
11,-0.1,Decline comment,
12,-0.4,Make pessimistic comment,
13,0.4,Make optimistic comment,
14,0,Consider policy option,
15,0,Acknowledge or claim responsibility,
16,3.4,Make empathetic comment,
17,0,Engage in symbolic act,
18,3.4,Express accord,
,,,
2,3,APPEAL,APPEAL
20,3,Appeal not specified below,
21,3.4,Appeal for cooperation not specified below,
211,3.4,Appeal for diplomatic cooperation,
212,3.4,Appeal for material cooperation,
22,3.4,Appeal for policy support,
23,3.4,Appeal for aid not specified below,
231,3.4,Appeal for economic aid,
232,3.4,Appeal for military aid,
233,3.4,Appeal for humanitarian aid,
234,3.4,Appeal for military protection or peacekeeping,
24,-0.3,Appeal for political reform not specified below,
241,-0.3,Appeal for change in leadership,
242,-0.3,Appeal for policy change,
243,-0.3,Appeal for rights,
244,-0.3,Appeal for change in institutions regime,
25,-0.3,Appeal to yield,
26,4,Appeal to others to meet or negotiate,
27,4,Appeal to others to settle dispute,
28,4,Appeal to others to engage in mediation,
,,,
3,4,EXPRESS INTENT TO COOPERATE,EXPRESS INTENT TO COOPERATE
30,4,Express intent to cooperate not specified below,
31,5.2,Express intent to engage in material cooperation  not specified below,
311,5.2,Express intent to cooperate economically,
312,5.2,Express intent to cooperate militarily,
32,4.5,Express intent to provide policy support,
33,5.2,Express intent to provide aid not specified below,
331,5.2,Express intent to provide economic aid,
332,5.2,Express intent to provide military aid,
333,5.2,Express intent to provide humanitarian aid,
334,6,Express intent to provide military protection or peacekeeping,
34,7,Express intent to bring political reform not specified below,
341,7,Express intent to change leadership,
342,7,Express intent to change policy,
343,7,Express intent to provide rights,
344,7,Express intent to change institutions regime,
35,7,Express intent to yield not specified below,
351,7,Express intent to ease administrative sanctions,
352,7,Express intent to stop protests,
353,7,Express intent to accede to political demands,
354,7,Express intent to release persons or property,
355,7,Express intent to ease economic sanctions boycott or embargo,
356,7,Express intent allow international involvement (not mediation),
357,7,Express intent to de-escalate military engagement ,
36,4,Express intent to meet or negotiate,
37,5,Express intent to settle dispute,
38,7,Express intent to accept mediation,
39,5,Express intent to mediate,
,,,
4,1,CONSULT,CONSULT
40,1,Consult not specified below,
41,1,Discuss by telephone,
42,1.9,Make a visit,
43,2.8,Host a visit,
44,2.5,Meet at a _‰ìthird_‰¢ location,
45,5,Mediate,
46,7,Engage in negotiation,
,,,
5,3.5,ENGAGE IN DIPLOMATIC COOPERATION,ENGAGE IN DIPLOMATIC COOPERATION
50,3.5,Engage in diplomatic cooperation not specified below,
51,3.4,Praise or endorse,
52,3.5,Defend verbally,
53,3.8,Rally support on behalf of,
54,6,Grant diplomatic recognition,
55,7,Apologize,
56,7,Forgive,
57,8,Sign formal agreement,
 ,,,
6,6,ENGAGE IN MATERIAL COOPERATION,ENGAGE IN MATERIAL COOPERATION
60,6,Engage in material cooperation not spec below,
61,6.4,Cooperate economically,
62,7.4,Cooperate militarily,
63,7.4,Engage in judicial cooperation,
64,7,Share intelligence or information,
,,,
7,7,PROVIDE AID,PROVIDE AID
70,7,Provide aid not specified below,
71,7.4,Provide economic aid,
72,8.3,Provide military aid,
73,7.4,Provide humanitarian aid,
74,8.5,Provide military protection or peacekeeping,
75,7,Grant asylum,
,,,
8,5,YIELD,YIELD
80,5,Yield not specified below ,
81,5,Ease administrative sanctions not specified below,
811,5,Ease restrictions on freedoms of speech andExpression ,
812,5,Ease ban on political parties or politicians,
813,5,Ease curfew,
814,5,Ease state of emergency or martial law,
82,5,Ease popular protest ,
83,5,Accede to demands for political reform ,
831,5,Accede to demands for change in leadership,
832,5,Accede to demands for change in policy,
