CAMEOCode,Description
1, MAKE PUBLIC STATEMENT
10,Make statement not specified below
11, Decline comment
12, Make pessimistic comment
13, Make optimistic comment
14, Consider policy option
15, Acknowledge or claim responsibility
16, Make empathetic comment
17, Engage in symbolic act
18, Express accord
2, APPEAL
20,Appeal not specified below
21,Appeal for cooperation not specified below
211, Appeal for diplomatic cooperation
212, Appeal for material cooperation
22, Appeal for policy support
23,Appeal for aid not specified below
231, Appeal for economic aid
232, Appeal for military aid
233, Appeal for humanitarian aid
234, Appeal for military protection or peacekeeping
24,Appeal for political reform not specified below
241, Appeal for change in leadership
242, Appeal for policy change
243, Appeal for rights
244,Appeal for change in institutions regime
25, Appeal to yield
26, Appeal to others to meet or negotiate
27, Appeal to others to settle dispute
28, Appeal to others to engage in mediation
3, EXPRESS INTENT TO COOPERATE
30,Express intent to cooperate not specified below
31,Express intent to engage in material cooperation  not specified below
311, Express intent to cooperate economically
312, Express intent to cooperate militarily
32, Express intent to provide policy support
33,Express intent to provide aid not specified below
331, Express intent to provide economic aid
332, Express intent to provide military aid
333, Express intent to provide humanitarian aid
334, Express intent to provide military protection or peacekeeping
34,Express intent to bring political reform not specified below
341, Express intent to change leadership
342, Express intent to change policy
343, Express intent to provide rights
344,Express intent to change institutions regime
35,Express intent to yield not specified below
351, Express intent to ease administrative sanctions
352, Express intent to stop protests
353, Express intent to accede to political demands
354, Express intent to release persons or property
355,Express intent to ease economic sanctions boycott or embargo
356, Express intent allow international involvement (not mediation)
357, Express intent to de-escalate military engagement 
36, Express intent to meet or negotiate
37, Express intent to settle dispute
38, Express intent to accept mediation
39, Express intent to mediate
4, CONSULT
40,Consult not specified below
41, Discuss by telephone
42, Make a visit
43, Host a visit
44, Meet at a _‚œthird_‚¢ location
45, Mediate
46, Engage in negotiation
5, ENGAGE IN DIPLOMATIC COOPERATION
50,Engage in diplomatic cooperation not specified below
51, Praise or endorse
52, Defend verbally
53, Rally support on behalf of
54, Grant diplomatic recognition
55, Apologize
56, Forgive
57, Sign formal agreement
 ,
6, ENGAGE IN MATERIAL COOPERATION
60,Engage in material cooperation not spec below
61, Cooperate economically
62, Cooperate militarily
63, Engage in judicial cooperation
64, Share intelligence or information
7, PROVIDE AID
70,Provide aid not specified below
71, Provide economic aid
72, Provide military aid
73, Provide humanitarian aid
74, Provide military protection or peacekeeping
75, Grant asylum
8, YIELD
80,Yield not specified below 
81,Ease administrative sanctions not specified below
811, Ease restrictions on freedoms of speech and expression 
812, Ease ban on political parties or politicians
813, Ease curfew
814, Ease state of emergency or martial law
82, Ease popular protest 
83, Accede to demands for political reform 
831, Accede to demands for change in leadership
832, Accede to demands for change in policy
833, Accede to demands for rights
834,Accede to demands for change in institutions regime
