GKGTaxonomyCode,GKGTaxonomy,GKGDescription
TAX_CARTELS,Drug Cartels,Returns any mention of a major recognized drug cartel
TAX_DISEASE,Infectiuos Disease,Returns any mention of a major infectious disease
TAX_ETHNICITY,Ethnicity,Returns any mention of a major ethnicity from around the world (expands CAMEOETH)
TAX_FNCACT,Functional Actor,"Returns any mention of a ""functional actor"", which is essentially a ""role"" from a ""child"" to a ""burgler"" to get a better understanding of the specific roles of people involved "
TAX_FOODSTAPLES,Food Staples,"Captures a cross-section of major food staples like bread, rice, etc"
TAX_MILITARY_TITLE,Military Title,"Returns any mention of a major military title such as Captain, 1st Lieutenant, etc"
TAX_POLITICAL_PARTY,Political Party,Returns any mention of a major recognized political party around the world
TAX_RELIGION,Religion,Returns any mention of a major religion from around the world (expands CAMEOREL)
TAX_SPECIAL_ISSUES,Special Issues,Returns mentions of special issues such as certain major laws and will eventually be replaced by a new tracking system for those
TAX_SPECIALDEATH,Special Death,Special kinds of death such as beheadings
TAX_TERROR_GROUP,Terror Group,Returns any mention of a major recognized terror group around the world
TAX_WEAPONS,Weapons,Specific weaponry
