Code,Long_Code,Topic
WB_,WB__OUT_OF_POCKET_PAYMENTS,Out of Pocket Payments
WB_1000,WB_1000_WATER_MANAGEMENT_STRUCTURES,Water Management Structures
WB_1001,WB_1001_SOIL_SALINITY,Soil Salinity
WB_1002,WB_1002_IRRIGATION_WATER_QUALITY,Irrigation Water Quality
WB_1003,WB_1003_SURFACE_DRAINAGE,Surface Drainage
WB_1004,WB_1004_SUBSURFACE_DRAINAGE,Subsurface Drainage
WB_1006,WB_1006_GRAVITY_IRRIGATION,Gravity Irrigation
WB_1007,WB_1007_PRESSURIZED_IRRIGATION,Pressurized Irrigation
WB_1009,WB_1009_AGRICULTURE_EXTENSION,Agriculture Extension
WB_1011,WB_1011_JUDICIAL_APPOINTMENTS,Judicial Appointments
WB_1014,WB_1014_CRIMINAL_JUSTICE,Criminal Justice
WB_1015,WB_1015_TRADE_REGULATION,Trade Regulation
WB_1016,WB_1016_SPECIAL_ECONOMIC_ZONES,Special Economic Zones
WB_1017,WB_1017_CONSUMER_PROTECTION_LAW,Consumer Protection Law
WB_1018,WB_1018_ELECTRONIC_COMMERCE_LAW,Electronic Commerce Law
WB_1020,WB_1020_LAW_OF_THE_SEA,Law of the Sea
WB_1021,WB_1021_WATER_LAW,Water Law
WB_1024,WB_1024_PUBLIC_INTERNATIONAL_LAW,Public International Law
WB_1025,WB_1025_PRIVATE_INTERNATIONAL_LAW,Private International Law
WB_1026,WB_1026_TREATIES,Treaties
WB_1027,WB_1027_PRIVILEGES_AND_IMMUNITIES,Privileges and Immunities
WB_1028,WB_1028_INTERNATIONAL_BOUNDARIES,International Boundaries
WB_1029,WB_1029_CONFLICT_OF_LAWS,Conflict of Laws
WB_1031,WB_1031_COMPETITION_LAW,Competition Law
WB_1033,WB_1033_SOLAR_POWER_LAW_AND_REGULATION,Solar Power Law and Regulation
WB_1034,WB_1034_WIND_POWER_LAW_AND_REGULATION,Wind Power Law and Regulation
WB_1036,WB_1036_PUBLIC_WORKS_REGULATION,Public Works Regulation
WB_1037,WB_1037_PUBLIC_UTILITIES_REGULATION,Public Utilities Regulation
WB_1038,WB_1038_WASTE_MANAGEMENT_REGULATION,Waste Management Regulation
WB_1039,WB_1039_PROPERTY_LAWS_AND_REGULATIONS,Property Laws and Regulations
WB_1040,WB_1040_COPYRIGHT_LAW,Copyright Law
WB_1041,WB_1041_PATENTS,Patents
WB_1042,WB_1042_TRADEMARKS,Trademarks
WB_1043,WB_1043_EMPLOYMENT_REGIMES,Employment Regimes
WB_1044,WB_1044_CIVIL_LAW,Civil Law
WB_1045,WB_1045_TREASURY,Treasury
WB_1048,WB_1048_MARINE_PROTECTED_AREAS,Marine Protected Areas
WB_1049,WB_1049_INLAND_AQUACULTURE,Inland Aquaculture
WB_1050,WB_1050_AQUACULTURE,Aquaculture
WB_1052,WB_1052_FOOD_SAFETY_STANDARDS,Food Safety Standards
WB_1053,WB_1053_SANITARY_AND_PHYTOSANITARY_STANDARDS,Sanitary and Phytosanitary Standards
WB_1054,WB_1054_FOOD_BORNE_DISEASES,Food Borne Diseases
WB_1057,WB_1057_SUSTAINABLE_FOREST_MANAGEMENT,Sustainable Forest Management
WB_1058,WB_1058_AGRIBUSINESS,Agribusiness
WB_1059,WB_1059_AGRICULTURAL_FINANCE,Agricultural Finance
WB_1063,WB_1063_WATER_ALLOCATION_AND_WATER_SUPPLY,Water Allocation and Water Supply
WB_1064,WB_1064_WATER_DEMAND_MANAGEMENT,Water Demand Management
WB_1066,WB_1066_MACROECONOMIC_ANALYSIS_OF_ECONOMIC_DEVELOPMENT,Macroeconomic Analysis of Economic Development
WB_1067,WB_1067_MICROECONOMIC_ANALYSIS_OF_ECONOMIC_DEVELOPMENT,Microeconomic Analysis of Economic Development
WB_1068,WB_1068_MARKET_FAILURES,Market Failures
WB_1069,WB_1069_RESOURCE_MISALLOCATIONS_AND_POLICY_FAILURES,Resource Misallocations and Policy Failures
WB_1070,WB_1070_ECONOMIC_GROWTH_POLICY,Economic Growth Policy
WB_1071,WB_1071_ECONOMIC_GROWTH_PROJECT_ANALYSIS,Economic Growth Project Analysis
WB_1072,WB_1072_FISCAL_POLICY_AND_GROWTH,Fiscal Policy and Growth
WB_1073,WB_1073_FISCAL_STIMULUS_AND_FISCAL_RULES,Fiscal Stimulus and Fiscal Rules
WB_1075,WB_1075_INDUSTRY_POLICY,Industry Policy
WB_1076,WB_1076_MONETARY_POLICY_AND_GROWTH,Monetary Policy and Growth
WB_1078,WB_1078_DETERMINANTS_OF_GROWTH,Determinants of Growth
WB_1079,WB_1079_COMMODITIES_AND_RESOURCES,Commodities and Resources
WB_1080,WB_1080_COMPETITION_POLICY_AND_GROWTH,Competition Policy and Growth
WB_1081,WB_1081_FINANCE_AND_GROWTH,Finance and Growth
WB_1082,WB_1082_HUMAN_CAPITAL_AND_GROWTH,Human Capital and Growth
WB_1083,WB_1083_INFRASTRUCTURE_AND_GROWTH,Infrastructure and Growth
WB_1084,WB_1084_INNOVATION,Innovation
WB_1085,WB_1085_CORRUPTION_AND_GROWTH,Corruption and Growth
WB_1086,WB_1086_DEMOCRACY_AND_GROWTH,Democracy and Growth
WB_1088,WB_1088_MACROECONOMIC_STABILITY_AND_GROWTH,Macroeconomic Stability and Growth
WB_1089,WB_1089_STRUCTURAL_TRANSFORMATION_FOR_GROWTH,Structural Transformation for Growth
WB_1091,WB_1091_GROWTH,Growth
WB_1092,WB_1092_HUMAN_CAPITAL_FOR_GROWTH,Human Capital for Growth
WB_1093,WB_1093_SOCIAL_PROTECTION_AND_GROWTH,Social Protection and Growth
WB_1095,WB_1095_POLITICAL_AND_INSTITUTIONAL_SUSTAINABILITY,Political and Institutional Sustainability
WB_1096,WB_1096_MACROECONOMIC_SUSTAINABILITY,Macroeconomic Sustainability
WB_1097,WB_1097_FISCAL_SUSTAINABILITY,Fiscal Sustainability
WB_1098,WB_1098_MONETARY_AND_FINANCIAL_STABILITY,Monetary and Financial Stability
