Code,Topic
3229,Abiotic Risk
3230,Abiotic Stress
1336,Absenteeism of Health Workers
2329,Access and Connectivity
1249,Access to Finance
2868,Access to Finance and Jobs
1250,Access to Finance for Households and Individuals
1251,Access to Finance for Women
2754,Access to Formal Contracts
2871,Access to Infrastructure and Jobs
942,Access to Justice
523,Access to Modern Cooking Fuels
2621,Access to Modern Heating Fuels
2921,Access to Primary Education
3921,Access to Public Lighting
2922,Access to Secondary Education
806,Access to Services in Cities
2755,Access to Social Security
3098,Accounts Payable System
3099,Accounts Receivable System
3600,Accredation of Health Provider
3563,Accreditation in Health
1654,Active Labor Market Policies
586,Adaptation Co-Benefits
726,Administrative Decentralization
1102,Administrative Law
2100,Administrative Simplification
1679,Administrative Subsystems
1450,Adolescent Health
3643,Adolescent Nutrition
1559,Adult Basic Education
2925,Adult Education
1584,Adult Education Methods and Programs
3970,Advanced Metering Solutions for Loss Reduction
3974,Advanced Metering Solutions for Regional Integration
3978,Advanced Metering Solutions for Renewable Energy Integration
3739,Advancing Financial Inclusion through Digital Means
2890,Affirmative Action
3464,Affordability and Willingness to Pay for Water and Sanitation Services
2188,Affordable Housing Supply
3654,Aflatoxins
2887,Age-Related Job Opportunity Reductions
1110,Ageing and Fiscal Policy
2097,Agencification
1253,Agent Banking
3415,Aggregation
2382,Agile Software Development
3491,Aging
2162,Aging and Health
2886,Aging and Jobs
643,Aging Population
1058,Agribusiness
3772,Agribusiness and Forestry
2987,Agribusiness Development
2986,Agribusiness Management
2976,Agricultural Canals
1962,Agricultural Credit
2696,Agricultural Employment
1059,Agricultural Finance
1973,Agricultural Financial Risk Reduction
1975,Agricultural Futures and Hedging
196,Agricultural Innovation Systems
337,Agricultural Insurance
171,Agricultural Laws and Regulations
1965,Agricultural Output Markets
170,Agricultural Policies
2883,Agricultural Productivity and Markets
197,Agricultural Research
1967,Agricultural Risk and Security
194,Agricultural Supply Chain
1951,Agricultural Technology Adaptation
192,Agricultural Trade
140,Agricultural Water Management
435,Agriculture and Food Security
1978,Agriculture and Related Subsidies
1009,Agriculture Extension
2628,Agriculture Supply Chains
1950,Agriculture Technology
1980,Agro-forestry
1966,Agro-Processing
1111,Aid Dependence
1296,Aid Flows for Health
3529,AIDS Treatment
3531,AIDS Treatment Drugs
1791,Air Pollution
3042,Air Strike
165,Air Transport
3141,Airburst
3367,Airplane Crash
1804,Airports
1438,Alcohol and Substance Abuse
936,Alternative Dispute Resolution
1514,Alternative Education
3377,Alzheimers
2602,Analysis of Trade Networks
2768,Analytical Employment Tools
383,Angel and Venture Capital
4039,Animal Drawn Carts
3231,Animal Incident
1957,Animal Pollution Management
177,Animal Production
3773,Animal Protein
4171,Animal Transport Safety
2194,Animal Welfare
1451,Antenatal and Postnatal Care
832,Anti-Corruption
2024,Anti-Corruption Authorities
2595,Anti-Corruption in Customs Administration
2025,Anti-Corruption Investigation
2019,Anti-Corruption Legislation
2029,Anti-Corruption Surveys and Analytical Work
314,Anti-Money Laundering and Combating the Financing of Terrorism
1743,Anticartel Enforcement
2101,Antitrust
666,Application Development
2384,Application Programming Interfaces
2132,Apprenticeship
1050,Aquaculture
1857,Arbitration and Dispute Resolution
2506,Arms Trade
3439,Arsenic and Contaminants Removal
555,Artisanal and Small-Scale Mining
2314,Artisanal and Small-Scale Mining Communities
2313,Artisanal and Small-Scale Mining Security of Tenure
4133,Asphalt
3750,Aspirations and Poverty
3996,Asset Liability Management
877,Asset Management
1610,Asset Transfers
2463,Asymmetric Guerrilla Warfare
2372,Authentication and Authorization
1227,Automotive Value Chain
3592,Autonomy of Health Facilities
3205,Avalanche
3359,Aviation Incident
4188,Aviation Safety
4211,Axle Loads
2332,Backbone Telecommunications Infrastructure Development
3084,Backhaul
3233,Bacterial Disease
441,Balance of Payments
2571,Bali Agreements
3758,Bandwidth Bias and Poverty
1239,Bank Asset Quality
3994,Bank Auditing
1241,Bank Capital Adequacy
3845,Bank Downscaling
3991,Bank Earnings
1243,Bank Internal Controls
3992,Bank Liquidity
3990,Bank Management
317,Bank Regulation and Supervision
319,Bank Resolution and Crisis Management
1242,Bank Risk Concentration
3993,Bank Sensitivity
3995,Bank Treasury Management
3868,Banking Delivery Channels
3890,Banking Institution Strengthening and Building
1234,Banking Institutions
4026,Banking Management Information System
3869,Banking Network Management
3798,Banking on Women
3799,Banking on Women Blended Finance
3800,Banking on Women Customer Value Proposition
3801,Banking on Women Data and Analytics
3804,Banking on Women Financial Mobilization
3802,Banking on Women Gender Intelligence
3803,Banking on Women Market Studies
3805,Banking on Women Non-Financial Services
3806,Banking on Women Risk Sharing Facilities
3807,Banking on Women SME Banking
3886,Banking Operational Risk
3874,Banking Organization Design
971,Banking Regulation
3884,Banking Risk and Compliance
3900,Banking Risk Diagnostic
3883,Banking Risk Governance
3902,Banking Risk Management
3896,Banking Risk Packages
3879,Banking Strategy
3864,Banking Strategy and Risk Management
3897,Banking Strategy and Risk Management Client Training
3893,Banking Strategy and Risk Management Policies
3898,Banking Strategy and Risk Management Presentations
1277,Bankruptcy and Liquidation
1238,Basel Core Principles
1328,Basic Package of Health Services
3538,BCC
3656,Behavior Change
3658,Behavior Change Incentives
3754,Behavioral Bottlenecks and Poverty
3757,Behavioral Defaults and Poverty
3747,Behavioral Design and Poverty
3752,Behavioral Diagnosis and Poverty
3675,Behavioral Economics of Water
3746,Behavioral Initiatives for Poverty Reduction and Equity
3753,Behavioral Process Map and Poverty
3417,Benchmarking for Water Supply and Sanitation
2079,Beneficial Ownership
1655,Benefit Administration
1158,Benefit Incidence Analysis
3727,Benefit Sharing of Hydropower and Dams
1589,Benefits of Early Childhood Development
2159,Benefits Package
4037,Bicycle Transport
661,Big Data
3429,Billing and Collection Services&nbsp;
1851,BioCarbon
2084,Biodiversity
3632,Biofortification of Crops
532,Biofuels Energy
3792,Biogas Energy
3228,Biological Disaster
3232,Biological Diseases
531,Biomass Energy
3457,Biosolids Management
1852,Black Carbon
3388,Black Market
3841,Blended Microfinance
3189,Blizzard
3541,Blood Safety
2491,Border Security
371,Branchless Banking
1442,Breastfeeding
2020,Bribery
4136,Bridge and Drainage Maintenance
3360,Bridge Collapse
4142,Bridge Management Systems
291,Broadband Networks
694,Broadcast and Media
2387,Broadcasting Industry and Markets
2386,Broadcasting Policy and Strategy
3165,Brush Fire
2062,Budget Execution and Treasury Management
3069,Budget Execution System
2060,Budget Preparation and Management Techniques
2061,Budget Preparation System
3668,Budget Process
734,Budget Transparency
2033,Budget Transparency and Participation
3362,Building Collapse
2333,Bulk Telecommunications
1414,Burden of Disease
3363,Burst Pipeline
3166,Bush Fire
2866,Business Climate and Jobs
668,Business Continuity
2653,Business Development Services
2648,Business Enablers
1278,Business Entry and Startup and One Stop Shops
2530,Business Environment
1279,Business Environment Indicators
2531,Business Inspections
660,Business Intelligence
410,Business Law and Regulation
654,Business Process Redesign
2590,Business Process Reengineering in Customs
2867,Business Regulations and Jobs
1285,Business Taxation
2388,Cable Broadcasting
890,Cadastre and Land Registration
1431,Cancer
3602,Cancer Care
3488,Cancer Costs and Financing
3484,Cancer Data
3486,Cancer Detection
3489,Cancer Good Practice
3485,Cancer Planning
3487,Cancer Prevention and Care
4043,Canoes and Non-Motorized Boats
1134,Capital Account
3865,Capital Management and Pricing
332,Capital Markets
969,Capital Markets Law and Regulation
1299,Capitation in Health Care
1985,Capture Fisheries
3364,Car Accident
1878,Carbon Capture and Storage
3907,Carbon Capture and Storage Finance
1872,Carbon Capture and Storage Law and Regulation
1822,Carbon Emissions and Transport
1846,Carbon Pricing
1845,Carbon Tax
1776,Carbon Trading
3603,Cardiology
3669,Care Coordination
2046,Career Management
1657,Cash for Training
1665,Cash for Work
1608,Cash Transfers
3571,Catastrophic Expenditures
1694,Categorical Targeting
2690,Categories of Employment
2725,Categories of Workers
2763,Census Data
2905,Center of Government
1123,Central Banking Institutional Set-up
1235,Central Banks
2599,Change Management in Customs
2683,Changing Nature of Jobs
2198,Chemical Engineering
3365,Chemical Spill
3768,Chemicals and Fertilizers
1591,Child Allowance
2151,Child Development
1859,Child Labor
1543,Child Labor and Education
2435,Child Soldiers
2726,Child Workers
3756,Choice Architecture and Poverty
1155,Chronic Poverty
867,Cities and Conflict
4021,Citizen Engagement in Mining
4020,Citizen Engagement in Oil and Gas
1471,Citizenship Education
876,City Financial Management and Creditworthiness
1719,City Indicators and Benchmarking
687,City Information Systems
3065,City Planning Systems
1720,City Strategies and Territorial Planning
814,City Systems
815,City Systems Governance
1937,Civil Justice
1044,Civil Law
3054,Civil Servant Registry
854,Civil Service Law
3052,Civil Service Registry
2092,Civil Service Tradition
2090,Civil Service Training
735,Civil Society Oversight
3702,Civil Works of Hydropower and Dams
1934,Civilian Police and Security Services
2640,Clean Tech Industries
3822,Climate Carve Outs for SME and Housing Finance
567,Climate Change
574,Climate Change Adaptation
3812,Climate Change Adaptation Finance
1750,Climate Change Adaptation Impacts
1752,Climate Change Adaptation in Coastal and Marine Areas
4202,Climate Change Adaptation in Rural Areas
810,Climate Change Adaptation in Urban Areas
1837,Climate Change and Disaster Risk
3784,Climate Change and Refugees
1770,Climate Change and Vulnerable Groups
1773,Climate Change Impacts
959,Climate Change Law
579,Climate Change Mitigation
2639,Climate Competitive Industries
1847,Climate Finance
1774,Climate Forecasting
3172,Climate Related Disaster
3173,Climate Related Event
4184,Climate Resilience
572,Climate Resilient Development
3422,Climate Resilient Service Provision for Water Supply and Sanitation
573,Climate Risk Management
1838,Climate Risk Screening
571,Climate Science
3725,Climate Screening and Resilience of Hydropower and Dams
568,Climate Services
1949,Climate Smart Agriculture
4016,Climate Smart Mining
4017,Climate Smart Oil and Gas
3161,Climatological Event
3525,Clinical and Support Services
3581,Clinical Information
676,Cloud Computing
1698,Coal Mining
511,Coal-Fired Power
596,Coastal and Marine Ecosystems
3203,Coastal Erosion
3220,Coastal Flood
2409,Cocreation
3748,Cognitive Biases and Poverty
3186,Cold Wave
356,Collateral Registries
2811,Collective Bargaining
2792,Collective Redundancy Procedures
3091,Collocation
2502,Combatant and Veteran Employment
2499,Combatant and Veteran Pensions
2500,Combatant and Veteran Psychological Issues
2501,Combatant and Veteran Suicide
2497,Combatants and Veterans
2179,Commercial Agriculture
1236,Commercial Banking
455,Commercial Debt Reduction
3421,Commercial Management of Service Providers of Water Supply and Sanitation
1184,Commercial Presence
1079,Commodities and Resources
3034,Commodity and Resource Prices
1164,Commodity Prices Shocks
3000,Commodity Rich Countries
2071,Common Law
2404,Commons Based Peer Production
1415,Communicable Disease
3730,Communications for Hydropower and Dams
